,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aanplanting meidoorn,
,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,,
,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,,
,rand,,rand,,,t,5VB1034,13,Gr. corridor,"9,5",Gr. corridor,6,Vl. Ardennen,"12,5",Vl. Ardennen,12,Gr. corridor,11,Gr. corridor,12,Gr. corridor,6,Gr. corridor,"15,5",Gr. corridor,10,Gr. corridor,9,5VB1051,11,5VB1051,12,5VB1051,8,5VB1051,12,5VB1051,19,5VB1051,"19,5",Hongarije,11,Hongarije,9,Hongarije,8,Hongarije,"6,5",Hongarije,,Hongarije,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,D04,,D04,,D04,,D04,,D04,,D04,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,rand,,rand,,,
,rand,,rand,,,t,Gr. corridor,9,Gr. corridor,"3,5",Gr. corridor,"7,5",Vl. Ardennen,13,Vl. Ardennen,10,gr. corridor,16,gr. corridor,13,gr. corridor,15,gr. corridor,12,gr. corridor,13,gr. corridor,7,5VB1051,13,5VB1051,"11,5",5VB1051,11,5VB1051,12,5VB1051,19,5VB1051,15,Hongarije,13,Hongarije,7,Hongarije,"7,5",Hongarije,7,Hongarije,,Hongarije,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,D04,,D04,,D04,,D04,,D04,,D04,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,rand,,rand,,,
,rand,,rand,,,t,?,9,?,17,?,"9,5",Vl. Ardennen,"5,5",Vl. Ardennen,2,Gr. corridor,15,Gr. corridor,11,Gr. corridor,14,Gr. corridor,13,Gr. corridor,10,Gr. corridor,8,5VB1051,8,5VB1051,"11,5",5VB1051,9,5VB1051,"11,5",5VB1051,11,5VB1051,"13,5",Hongarije,13,Hongarije,15,Hongarije,"7,5",Hongarije,8,Hongarije,,Hongarije,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,D04,,D04,,D04,,D04,,D04,,D04,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,rand,,rand,,,
,rand,,rand,,,t,Gr. corridor,9,?,"7,5",Gr. corridor,8,?,12,Vl. Ardennen,"11,5",gr. corridor,16,gr. corridor,14,gr. corridor,"15,5",gr. corridor,"11,5",gr. corridor,"11,5",gr. corridor,13,5VB1051,11,5VB1051,13,5VB1051,12,5VB1051,13,5VB1051,10,5VB1051,10,Hongarije,"11,5",Hongarije,6,Hongarije,"9,5",Hongarije,"4,5",Hongarije,,Hongarije,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,D04,,D04,,D04,,D04,,D04,,D04,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,rand,,rand,,,
,rand,,rand,,,t,?,14,?,8,Vl. Ardennen,"11,5",Vl. Ardennen,8,Vl. Ardennen,"9,5",Gr. corridor,"14,5",Gr. corridor,"16,5",Gr. corridor,17,Gr. corridor,9,Gr. corridor,10,Gr. corridor,"10,5",5VB1051,13,5VB1051,14,5VB1051,13,5VB1051,12,5VB1051,12,5VB1051,9,Hongarije,"6,5",Hongarije,9,Hongarije,12,Hongarije,8,Hongarije,,Hongarije,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,D04,,D04,,D04,,D04,,D04,,D04,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,rand,,rand,,,
,rand,,rand,,Vl. Ardennen,"8,5",Vl. Ardennen,"12,5",Vl. Ardennen,"8,5",Vl. Ardennen,11,Vl. Ardennen,"15,5",Vl. Ardennen,12,gr. corridor,15,gr. corridor,17,gr. corridor,11,gr. corridor,12,gr. corridor,11,gr. corridor,"11,5",5VB1051,8,5VB1051,14,5VB1051,7,5VB1051,9,5VB1051,13,5VB1051,16,Hongarije,9,Hongarije,10,Hongarije,9,Hongarije,"8,5",Hongarije,,Hongarije,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,D04,,D04,,D04,,D04,,D04,,D04,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,Vl. Ardennen,,rand,,rand,,,
,rand,,rand,,D01,11,D01,9,D01,"14,5",D01,9,D01,11,D01,8,W.Vl.Heuvels,"11,5",W.Vl.Heuvels,10,W.Vl.Heuvels,13,W.Vl.Heuvels,13,W.Vl.Heuvels,"10,5",W.Vl.Heuvels,13,6VB1038,12,6VB1038,9,6VB1038,16,6VB1038,10,6VB1038,14,6VB1038,7,Gr. corridor,10,Gr. corridor,11,Gr. corridor,"8,5",Gr. corridor,14,Gr. corridor,,Gr. corridor,,5VB1051,,5VB1051,,5VB1051,,5VB1051,,5VB1051,,5VB1051,,Hongarije,,Hongarije,,Hongarije,,Hongarije,,Hongarije,,Hongarije,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,5VB1034,,rand,,rand,,,
