,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aanplanting meidoorn,
,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,rand,,
,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,194,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,,rand,rand,,
,rand,,rand,,,,5VB1034,201,Gr. corridor,104,Gr. corridor,75,Vl. Ardennen,310,Vl. Ardennen,310,Gr. corridor,313,Gr. corridor,232,Gr. corridor,105,Gr. corridor,198,Gr. corridor,85,Gr. corridor,103,5VB1051,231,5VB1051,210,5VB1051,177,5VB1051,151,5VB1051,387,5VB1051,333,Hongarije,88,Hongarije,257,Hongarije,203,Hongarije,170,Hongarije,144,Hongarije,156,5VB1034,265,5VB1034,252,5VB1034,100,5VB1034,273,5VB1034,326,5VB1034,153,D04,219,D04,72,D04,149,D04,202,D04,165,D04,186,Vl. Ardennen,138,Vl. Ardennen,90,Vl. Ardennen,95,Vl. Ardennen,176,Vl. Ardennen,337,Vl. Ardennen,257,rand,rand,,
,rand,,rand,,,,Gr. corridor,122,Gr. corridor,100,Gr. corridor,150,Vl. Ardennen,260,Vl. Ardennen,234,gr. corridor,304,gr. corridor,255,gr. corridor,263,gr. corridor,205,gr. corridor,301,gr. corridor,99,5VB1051,235,5VB1051,185,5VB1051,225,5VB1051,132,5VB1051,388,5VB1051,349,Hongarije,255,Hongarije,209,Hongarije,139,Hongarije,189,Hongarije,263,Hongarije,85,5VB1034,180,5VB1034,270,5VB1034,196,5VB1034,228,5VB1034,206,5VB1034,105,D04,236,D04,90,D04,256,D04,173,D04,77,D04,81,Vl. Ardennen,137,Vl. Ardennen,178,Vl. Ardennen,77,Vl. Ardennen,199,Vl. Ardennen,217,Vl. Ardennen,156,rand,rand,,
,rand,,rand,,,,?,193,?,222,?,190,Vl. Ardennen,55,Vl. Ardennen,t,Gr. corridor,390,Gr. corridor,239,Gr. corridor,312,Gr. corridor,343,Gr. corridor,206,Gr. corridor,187,5VB1051,155,5VB1051,65,5VB1051,157,5VB1051,240,5VB1051,102,5VB1051,182,Hongarije,291,Hongarije,270,Hongarije,166,Hongarije,204,Hongarije,256,Hongarije,189,5VB1034,293,5VB1034,240,5VB1034,188,5VB1034,100,5VB1034,134,5VB1034,215,D04,327,D04,221,D04,184,D04,168,D04,224,D04,139,Vl. Ardennen,272,Vl. Ardennen,228,Vl. Ardennen,110,Vl. Ardennen,82,Vl. Ardennen,245,Vl. Ardennen,295,rand,rand,,
,rand,,rand,,,,Gr. corridor,243,?,96,Gr. corridor,201,?,234,Vl. Ardennen,171,gr. corridor,361,gr. corridor,308,gr. corridor,256,gr. corridor,241,gr. corridor,95,gr. corridor,185,5VB1051,163,5VB1051,100,5VB1051,289,5VB1051,212,5VB1051,206,5VB1051,299,Hongarije,278,Hongarije,99,Hongarije,187,Hongarije,135,Hongarije,226,Hongarije,132,5VB1034,188,5VB1034,235,5VB1034,246,5VB1034,150,5VB1034,195,5VB1034,220,D04,221,D04,195,D04,180,D04,133,D04,221,D04,63,Vl. Ardennen,182,Vl. Ardennen,145,Vl. Ardennen,171,Vl. Ardennen,158,Vl. Ardennen,263,Vl. Ardennen,238,rand,rand,,
,rand,,rand,,,,?,264,?,231,Vl. Ardennen,167,Vl. Ardennen,187,Vl. Ardennen,165,Gr. corridor,330,Gr. corridor,363,Gr. corridor,376,Gr. corridor,245,Gr. corridor,160,Gr. corridor,173,5VB1051,155,5VB1051,230,5VB1051,314,5VB1051,290,5VB1051,254,5VB1051,254,Hongarije,145,Hongarije,203,Hongarije,193,Hongarije,163,Hongarije,91,Hongarije,312,5VB1034,329,5VB1034,399,5VB1034,162,5VB1034,256,5VB1034,170,5VB1034,237,D04,317,D04,93,D04,214,D04,88,D04,115,D04,97,Vl. Ardennen,92,Vl. Ardennen,91,Vl. Ardennen,115,Vl. Ardennen,250,Vl. Ardennen,228,Vl. Ardennen,300,rand,rand,,
,rand,,rand,,Vl. Ardennen,148,Vl. Ardennen,124,Vl. Ardennen,206,Vl. Ardennen,296,Vl. Ardennen,296,Vl. Ardennen,319,gr. corridor,401,gr. corridor,328,gr. corridor,182,gr. corridor,203,gr. corridor,293,gr. corridor,327,5VB1051,142,5VB1051,339,5VB1051,132,5VB1051,241,5VB1051,194,5VB1051,373,Hongarije,121,Hongarije,187,Hongarije,246,Hongarije,93,Hongarije,258,Hongarije,323,5VB1034,183,5VB1034,272,5VB1034,284,5VB1034,185,5VB1034,208,5VB1034,152,D04,367,D04,175,D04,185,D04,216,D04,151,D04,245,Vl. Ardennen,193,Vl. Ardennen,90,Vl. Ardennen,347,Vl. Ardennen,297,Vl. Ardennen,352,Vl. Ardennen,220,rand,rand,,
,rand,,rand,,D01,245,D01,263,D01,276,D01,201,D01,275,D01,112,W.Vl.Heuvels,213,W.Vl.Heuvels,235,W.Vl.Heuvels,401,W.Vl.Heuvels,296,W.Vl.Heuvels,253,W.Vl.Heuvels,286,6VB1038,235,6VB1038,197,6VB1038,313,6VB1038,263,6VB1038,177,6VB1038,143,Gr. corridor,231,Gr. corridor,263,Gr. corridor,126,Gr. corridor,280,Gr. corridor,322,Gr. corridor,236,5VB1051,286,5VB1051,188,5VB1051,154,5VB1051,115,5VB1051,185,5VB1051,304,Hongarije,240,Hongarije,216,Hongarije,230,Hongarije,302,Hongarije,216,Hongarije,270,5VB1034,226,5VB1034,180,5VB1034,203,5VB1034,262,5VB1034,175,5VB1034,235,rand,rand,,
