4-7-5VB1034,4,7,5VB1034,201.0
4-9-Gr. corridor,4,9,Gr. corridor,104.0
4-11-Gr. corridor,4,11,Gr. corridor,75.0
4-13-Vl. Ardennen,4,13,Vl. Ardennen,310.0
4-15-Vl. Ardennen,4,15,Vl. Ardennen,310.0
4-17-Gr. corridor,4,17,Gr. corridor,313.0
4-19-Gr. corridor,4,19,Gr. corridor,232.0
4-21-Gr. corridor,4,21,Gr. corridor,105.0
4-23-Gr. corridor,4,23,Gr. corridor,198.0
4-25-Gr. corridor,4,25,Gr. corridor,85.0
4-27-Gr. corridor,4,27,Gr. corridor,103.0
4-29-5VB1051,4,29,5VB1051,231.0
4-31-5VB1051,4,31,5VB1051,210.0
4-33-5VB1051,4,33,5VB1051,177.0
4-35-5VB1051,4,35,5VB1051,151.0
4-37-5VB1051,4,37,5VB1051,387.0
4-39-5VB1051,4,39,5VB1051,333.0
4-53-5VB1034,4,53,5VB1034,265.0
4-55-5VB1034,4,55,5VB1034,252.0
4-57-5VB1034,4,57,5VB1034,100.0
4-59-5VB1034,4,59,5VB1034,273.0
4-61-5VB1034,4,61,5VB1034,326.0
4-63-5VB1034,4,63,5VB1034,153.0
4-65-D04,4,65,D04,219.0
4-67-D04,4,67,D04,72.0
4-69-D04,4,69,D04,149.0
4-71-D04,4,71,D04,202.0
4-73-D04,4,73,D04,165.0
4-75-D04,4,75,D04,186.0
4-77-Vl. Ardennen,4,77,Vl. Ardennen,138.0
4-79-Vl. Ardennen,4,79,Vl. Ardennen,90.0
4-81-Vl. Ardennen,4,81,Vl. Ardennen,95.0
4-83-Vl. Ardennen,4,83,Vl. Ardennen,176.0
4-85-Vl. Ardennen,4,85,Vl. Ardennen,337.0
4-87-Vl. Ardennen,4,87,Vl. Ardennen,257.0
5-7-Gr. corridor,5,7,Gr. corridor,122.0
5-9-Gr. corridor,5,9,Gr. corridor,100.0
5-11-Gr. corridor,5,11,Gr. corridor,150.0
5-13-Vl. Ardennen,5,13,Vl. Ardennen,260.0
5-15-Vl. Ardennen,5,15,Vl. Ardennen,234.0
5-17-gr. corridor,5,17,gr. corridor,304.0
5-19-gr. corridor,5,19,gr. corridor,255.0
5-21-gr. corridor,5,21,gr. corridor,263.0
5-23-gr. corridor,5,23,gr. corridor,205.0
5-25-gr. corridor,5,25,gr. corridor,301.0
5-27-gr. corridor,5,27,gr. corridor,99.0
5-29-5VB1051,5,29,5VB1051,235.0
5-31-5VB1051,5,31,5VB1051,185.0
5-33-5VB1051,5,33,5VB1051,225.0
5-35-5VB1051,5,35,5VB1051,132.0
5-37-5VB1051,5,37,5VB1051,388.0
5-39-5VB1051,5,39,5VB1051,349.0
5-53-5VB1034,5,53,5VB1034,180.0
5-55-5VB1034,5,55,5VB1034,270.0
5-57-5VB1034,5,57,5VB1034,196.0
5-59-5VB1034,5,59,5VB1034,228.0
5-61-5VB1034,5,61,5VB1034,206.0
5-63-5VB1034,5,63,5VB1034,105.0
5-65-D04,5,65,D04,236.0
5-67-D04,5,67,D04,90.0
5-69-D04,5,69,D04,256.0
5-71-D04,5,71,D04,173.0
5-73-D04,5,73,D04,77.0
5-75-D04,5,75,D04,81.0
5-77-Vl. Ardennen,5,77,Vl. Ardennen,137.0
5-79-Vl. Ardennen,5,79,Vl. Ardennen,178.0
5-81-Vl. Ardennen,5,81,Vl. Ardennen,77.0
5-83-Vl. Ardennen,5,83,Vl. Ardennen,199.0
5-85-Vl. Ardennen,5,85,Vl. Ardennen,217.0
5-87-Vl. Ardennen,5,87,Vl. Ardennen,156.0
6-7-?,6,7,?,193.0
6-9-?,6,9,?,222.0
6-11-?,6,11,?,190.0
6-13-Vl. Ardennen,6,13,Vl. Ardennen,55.0
6-17-Gr. corridor,6,17,Gr. corridor,390.0
6-19-Gr. corridor,6,19,Gr. corridor,239.0
6-21-Gr. corridor,6,21,Gr. corridor,312.0
6-23-Gr. corridor,6,23,Gr. corridor,343.0
6-25-Gr. corridor,6,25,Gr. corridor,206.0
6-27-Gr. corridor,6,27,Gr. corridor,187.0
6-29-5VB1051,6,29,5VB1051,155.0
6-31-5VB1051,6,31,5VB1051,65.0
6-33-5VB1051,6,33,5VB1051,157.0
6-35-5VB1051,6,35,5VB1051,240.0
6-37-5VB1051,6,37,5VB1051,102.0
6-39-5VB1051,6,39,5VB1051,182.0
6-53-5VB1034,6,53,5VB1034,293.0
6-55-5VB1034,6,55,5VB1034,240.0
6-57-5VB1034,6,57,5VB1034,188.0
6-59-5VB1034,6,59,5VB1034,100.0
6-61-5VB1034,6,61,5VB1034,134.0
6-63-5VB1034,6,63,5VB1034,215.0
6-65-D04,6,65,D04,327.0
6-67-D04,6,67,D04,221.0
6-69-D04,6,69,D04,184.0
6-71-D04,6,71,D04,168.0
6-73-D04,6,73,D04,224.0
6-75-D04,6,75,D04,139.0
6-77-Vl. Ardennen,6,77,Vl. Ardennen,272.0
6-79-Vl. Ardennen,6,79,Vl. Ardennen,228.0
6-81-Vl. Ardennen,6,81,Vl. Ardennen,110.0
6-83-Vl. Ardennen,6,83,Vl. Ardennen,82.0
6-85-Vl. Ardennen,6,85,Vl. Ardennen,245.0
6-87-Vl. Ardennen,6,87,Vl. Ardennen,295.0
7-7-Gr. corridor,7,7,Gr. corridor,243.0
7-9-?,7,9,?,96.0
7-11-Gr. corridor,7,11,Gr. corridor,201.0
7-13-?,7,13,?,234.0
7-15-Vl. Ardennen,7,15,Vl. Ardennen,171.0
7-17-gr. corridor,7,17,gr. corridor,361.0
7-19-gr. corridor,7,19,gr. corridor,308.0
