4-7-5VB1034,4,7,5VB1034,5.0
4-13-Vl. Ardennen,4,13,Vl. Ardennen,7.5
4-15-Vl. Ardennen,4,15,Vl. Ardennen,7.5
4-17-Gr. corridor,4,17,Gr. corridor,7.5
4-19-Gr. corridor,4,19,Gr. corridor,6.5
4-23-Gr. corridor,4,23,Gr. corridor,3.5
4-29-5VB1051,4,29,5VB1051,6.5
4-31-5VB1051,4,31,5VB1051,4.0
4-33-5VB1051,4,33,5VB1051,3.0
4-35-5VB1051,4,35,5VB1051,3.0
4-37-5VB1051,4,37,5VB1051,13.5
4-39-5VB1051,4,39,5VB1051,12.5
4-53-5VB1034,4,53,5VB1034,7.5
4-55-5VB1034,4,55,5VB1034,3.0
4-59-5VB1034,4,59,5VB1034,5.0
4-61-5VB1034,4,61,5VB1034,9.0
4-63-5VB1034,4,63,5VB1034,2.0
4-65-D04,4,65,D04,5.0
4-69-D04,4,69,D04,2.0
4-71-D04,4,71,D04,3.5
4-73-D04,4,73,D04,3.0
4-75-D04,4,75,D04,4.5
4-77-Vl. Ardennen,4,77,Vl. Ardennen,1.0
4-83-Vl. Ardennen,4,83,Vl. Ardennen,3.0
4-85-Vl. Ardennen,4,85,Vl. Ardennen,12.0
4-87-Vl. Ardennen,4,87,Vl. Ardennen,6.5
5-7-Gr. corridor,5,7,Gr. corridor,1.0
5-11-Gr. corridor,5,11,Gr. corridor,1.0
5-13-Vl. Ardennen,5,13,Vl. Ardennen,8.5
5-15-Vl. Ardennen,5,15,Vl. Ardennen,4.0
5-17-gr. corridor,5,17,gr. corridor,10.5
5-19-gr. corridor,5,19,gr. corridor,6.5
5-21-gr. corridor,5,21,gr. corridor,6.0
5-23-gr. corridor,5,23,gr. corridor,6.0
5-25-gr. corridor,5,25,gr. corridor,6.0
5-29-5VB1051,5,29,5VB1051,6.0
5-31-5VB1051,5,31,5VB1051,4.5
5-33-5VB1051,5,33,5VB1051,3.5
5-35-5VB1051,5,35,5VB1051,2.5
5-37-5VB1051,5,37,5VB1051,13.5
5-39-5VB1051,5,39,5VB1051,8.0
5-53-5VB1034,5,53,5VB1034,5.0
5-55-5VB1034,5,55,5VB1034,5.0
5-57-5VB1034,5,57,5VB1034,5.0
5-59-5VB1034,5,59,5VB1034,5.5
5-61-5VB1034,5,61,5VB1034,5.5
5-65-D04,5,65,D04,7.0
5-69-D04,5,69,D04,6.5
5-71-D04,5,71,D04,5.0
5-77-Vl. Ardennen,5,77,Vl. Ardennen,1.0
5-79-Vl. Ardennen,5,79,Vl. Ardennen,1.0
5-83-Vl. Ardennen,5,83,Vl. Ardennen,4.5
5-85-Vl. Ardennen,5,85,Vl. Ardennen,4.5
5-87-Vl. Ardennen,5,87,Vl. Ardennen,3.0
6-7-?,6,7,?,4.5
6-9-?,6,9,?,7.0
6-11-?,6,11,?,3.5
6-17-Gr. corridor,6,17,Gr. corridor,9.0
6-19-Gr. corridor,6,19,Gr. corridor,3.5
6-21-Gr. corridor,6,21,Gr. corridor,7.0
6-23-Gr. corridor,6,23,Gr. corridor,8.5
6-25-Gr. corridor,6,25,Gr. corridor,3.0
6-27-Gr. corridor,6,27,Gr. corridor,2.5
6-29-5VB1051,6,29,5VB1051,3.0
6-33-5VB1051,6,33,5VB1051,2.5
6-35-5VB1051,6,35,5VB1051,7.0
6-39-5VB1051,6,39,5VB1051,6.5
6-53-5VB1034,6,53,5VB1034,6.5
6-55-5VB1034,6,55,5VB1034,6.5
6-57-5VB1034,6,57,5VB1034,4.0
6-61-5VB1034,6,61,5VB1034,2.0
6-63-5VB1034,6,63,5VB1034,5.0
6-65-D04,6,65,D04,11.0
6-67-D04,6,67,D04,4.5
6-69-D04,6,69,D04,5.0
6-71-D04,6,71,D04,2.0
6-73-D04,6,73,D04,5.0
6-75-D04,6,75,D04,1.5
6-77-Vl. Ardennen,6,77,Vl. Ardennen,7.0
6-79-Vl. Ardennen,6,79,Vl. Ardennen,6.0
6-81-Vl. Ardennen,6,81,Vl. Ardennen,0.5
6-85-Vl. Ardennen,6,85,Vl. Ardennen,7.5
6-87-Vl. Ardennen,6,87,Vl. Ardennen,7.0
7-7-Gr. corridor,7,7,Gr. corridor,5.0
7-11-Gr. corridor,7,11,Gr. corridor,3.5
7-13-?,7,13,?,5.5
7-15-Vl. Ardennen,7,15,Vl. Ardennen,3.0
7-17-gr. corridor,7,17,gr. corridor,10.0
7-19-gr. corridor,7,19,gr. corridor,8.0
7-21-gr. corridor,7,21,gr. corridor,7.5
7-23-gr. corridor,7,23,gr. corridor,6.0
7-27-gr. corridor,7,27,gr. corridor,7.0
7-29-5VB1051,7,29,5VB1051,1.5
7-33-5VB1051,7,33,5VB1051,5.5
7-35-5VB1051,7,35,5VB1051,4.0
7-37-5VB1051,7,37,5VB1051,4.0
7-39-5VB1051,7,39,5VB1051,8.0
7-53-5VB1034,7,53,5VB1034,3.0
7-55-5VB1034,7,55,5VB1034,7.0
7-57-5VB1034,7,57,5VB1034,5.5
7-59-5VB1034,7,59,5VB1034,4.0
7-61-5VB1034,7,61,5VB1034,3.5
7-63-5VB1034,7,63,5VB1034,5.0
7-65-D04,7,65,D04,5.0
7-67-D04,7,67,D04,3.5
7-69-D04,7,69,D04,4.0
7-71-D04,7,71,D04,2.0
7-73-D04,7,73,D04,4.5
7-77-Vl. Ardennen,7,77,Vl. Ardennen,2.5
7-79-Vl. Ardennen,7,79,Vl. Ardennen,1.5
7-81-Vl. Ardennen,7,81,Vl. Ardennen,3.0
7-83-Vl. Ardennen,7,83,Vl. Ardennen,2.5
